UniqueID,TSA,Dis_SubDis,LUCategory,EX_OffSQFT,EX_RetSQFT,EX_HotSQFT,EX_InstSQFT,EX_IndusSQFT,EX_NonResGFA,EX_ResSQFT,EX_SF_DU,EX_TH_DU,EX_MFR_DU,EX_ResDu,MR_OFF_SQFT,MR_RET_SQFT,MR_HOT_SQFT,MR_INS_SQFT,MR_IND_SQFT,MR_NonRes,MR_ResGFA,MR_SFD_DU,MR_SFA_DU,MR_MFR_DU,MR_ResDU,EARMR_OffSQFT,EARMR_RetSQFT,EARMR_HotSQFT,EARMR_InstSQFT,EARMR_IndusSQFT,EARMR_NonResGFA,EARMR_ResSQFT,EARMR_ResDu,EUARMR_OffSQFT,EUARMR_RetSQFT,EUARMR_HotelSQFT,EUARMR_InstSQFT,EUARMR_IndusSQFT,EUARMR_NonResGFA,EUARMR_ResSQFT,EUARMR_ResDu
Reston Town Center TSA : Central Sunrise Valley : Government / Institutional,Reston Town Center TSA,Central Sunrise Valley,Government / Institutional,1096572,0,0,0,0,1096572,0,0,0,0,0,0,0,0,1096572,0,1096572,0,0,0,0,0,1096572,0,0,0,0,1096572,0,0,1096572,0,0,0,0,1096572,0,0
Wiehle-Reston East TSA : Reston East : Government / Institutional,Wiehle-Reston East TSA,Reston East,Government / Institutional,0,0,0,0,12599,12599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12599,12599,0,0,0,0,0,0,12599,12599,0,0
Wiehle-Reston East TSA : Wiehle Station North : Government / Institutional,Wiehle-Reston East TSA,Wiehle Station North,Government / Institutional,0,0,0,9480,0,9480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9480,0,9480,0,0,0,0,0,9480,0,9480,0,0
Reston Town Center TSA : Central Sunrise Valley : Industrial,Reston Town Center TSA,Central Sunrise Valley,Industrial,457630,0,0,0,62592,520222,0,0,0,0,0,0,0,0,0,446042,446042,0,0,0,0,0,457630,0,0,0,62592,520222,0,0,438678,0,0,0,709082,204160,0,0
Herndon TSA : Woodland Park : Mixed Use,Herndon TSA,Woodland Park,Mixed Use,2106621,128581,113720,7014,0,2355936,1125230,0,0,1178,1178,3036488,142080,155864,0,0,3334432,1203000,0,0,1203,1203,2106621,128581,113720,7014,0,2355936,1813220,1623,2503706,165081,113720,7014,0,2355936,1813220,1623
Reston Town Center TSA : East Fountain Drive : Mixed Use,Reston Town Center TSA,East Fountain Drive,Mixed Use,74983,258022,0,0,0,333005,0,0,0,0,0,579813,252096,356444,0,0,1188353,1422000,0,0,1422,1422,488683,263222,0,0,0,333005,0,0,488683,263222,0,0,0,333005,0,0
Reston Town Center TSA : Old Reston Avenue : Mixed Use,Reston Town Center TSA,Old Reston Avenue,Mixed Use,490430,13946,0,0,0,504376,295160,0,0,297,297,615325,13946,0,0,0,629271,875000,0,0,875,875,490430,13946,0,0,0,504376,295160,297,567061,13946,0,0,0,436424,295160,297
Reston Town Center TSA : Reston Heights : Mixed Use,Reston Town Center TSA,Reston Heights,Mixed Use,214088,9766,330397,0,0,554251,161893,0,0,194,194,594803,95539,347550,0,0,1037892,655000,0,0,655,655,214088,9766,330397,0,0,554251,161893,194,214088,9766,330397,0,0,554251,161893,194
Reston Town Center TSA : Town Center Urban Core : Mixed Use,Reston Town Center TSA,Town Center Urban Core,Mixed Use,29200,0,0,0,0,29200,0,0,0,0,0,0,0,0,0,0,0,163000,0,0,163,163,29200,0,0,0,0,29200,236435,150,0,0,0,0,0,,236435,150
Reston Town Center TSA : Town Center West : Mixed Use,Reston Town Center TSA,Town Center West,Mixed Use,475467,193939,0,316855,0,986261,1083247,0,296,400,696,699439,139649,0,754452,16927,1610467,873600,0,296,400,696,475467,193939,0,316855,0,986261,1083247,696,475467,193939,0,316855,0,986261,1083247,696
Reston Town Center TSA : West Fountain Drive : Mixed Use,Reston Town Center TSA,West Fountain Drive,Mixed Use,0,0,0,8988,0,8988,336555,0,0,280,280,23958,67152,7405,8712,0,107227,455000,0,0,455,455,0,0,0,8988,0,8988,336555,280,0,0,0,8988,0,8988,336555,280
Wiehle-Reston East TSA : Sunset Hills : Mixed Use,Wiehle-Reston East TSA,Sunset Hills,Mixed Use,1463064,161530,0,0,0,1624594,0,0,0,0,0,1704004,164000,0,0,0,1868004,0,0,0,0,0,1463064,161530,0,0,0,1624594,0,0,1463064,161530,0,0,0,1624594,0,0
Reston Town Center TSA : Central Sunrise Valley : Office,Reston Town Center TSA,Central Sunrise Valley,Office,1291957,0,0,0,115154,1407111,0,0,0,0,0,1165555,0,0,0,0,1165555,0,0,0,0,0,1291957,0,0,0,115154,1407111,0,0,1291957,1500,0,0,115154,1407111,173142,145
Wiehle-Reston East TSA : Reston East : Office,Wiehle-Reston East TSA,Reston East,Office,3714535,194199,0,0,306291,4215025,0,0,0,0,0,5451159,0,0,0,0,5451159,242000,0,0,242,242,4113587,194199,98500,0,306291,4215025,0,0,4163744,234199,191839,0,306291,3949399,200000,188
Herndon TSA : Great Oak : Residential,Herndon TSA,Great Oak,Residential,0,0,0,0,0,0,2244511,82,249,1161,1492,0,0,0,0,0,0,1597200,187,144,918,1249,0,0,0,0,0,0,2244511,1492,0,0,0,0,0,0,2244511,1492
