BUILDING_I,APPLICATION,STATUS,TSA,Dis_SubDis,LUCategory,ZoCaseStat,BldgStatus,Office,Retail,BMR_Hotel,BMR_Inst,BMR_Indus,BMR_TotNonRes,BMR_ResGFA,BMR_ResDU,BMR_Totals
50,RZ 2017-HM-018,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,8000,0,0,0,,163500,160,171500
52,RZ 2017-HM-018,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,5000,0,0,0,,386750,359,391750
53,RZ 2017-HM-018,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,4500,0,0,0,,542535,513,547035
65,RZ 2016-HM-004,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,200000,200,200000
66,RZ 2016-HM-004,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,12000,0,0,0,,188000,188,200000
67,RZ 2016-HM-004,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,145950,150,145950
68,RZ 2016-HM-016,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,2500,0,0,0,,369048,413,371548
7,RZ 2016-HM-024,SP Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,UNDER REVIEW,SP Approved,0,60800,0,0,0,,265000,225,325800
99,PCA 78-C-098-04,FDP Proposed,Reston Town Center TSA,Old Reston Avenue,Mixed Use,UNDER REVIEW,FDP Proposed,94207,0,0,0,0,,0,0,94207
92,RZ 2016-HM-017,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,326000,283,326000
91,RZ 2016-HM-017,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,135000,0,0,0,0,,0,0,135000
9,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,8990,0,0,0,,264525,233,273515
89,RZ 2016-HM-017,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,361000,14000,0,0,0,,0,0,375000
88,RZ 2016-HM-017,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,146500,5500,0,0,0,,0,0,152000
