TSA,Dis_SubDis,LUCategory,EX_OffSQFT,EX_ResSQFT,MR_OFF_SQFT,MR_ResGFA,EARMR_OffSQFT,EARMR_ResSQFT
Reston Town Center TSA,Central Sunrise Valley,Government / Institutional,1096572,0,0,0,1096572,0
Wiehle-Reston East TSA,Reston East,Government / Institutional,0,0,0,0,0,0
Wiehle-Reston East TSA,Wiehle Station North,Government / Institutional,0,0,0,0,0,0
Reston Town Center TSA,Central Sunrise Valley,Industrial,457630,0,0,0,457630,0
Herndon TSA,Woodland Park,Mixed Use,2106621,1125230,3036488,1203000,2106621,1813220
Reston Town Center TSA,East Fountain Drive,Mixed Use,74983,0,579813,1422000,488683,0
Reston Town Center TSA,Old Reston Avenue,Mixed Use,490430,295160,615325,875000,490430,295160
Reston Town Center TSA,Reston Heights,Mixed Use,214088,161893,594803,655000,214088,161893
Reston Town Center TSA,Town Center Urban Core,Mixed Use,29200,0,0,163000,29200,236435
Reston Town Center TSA,Town Center West,Mixed Use,475467,1083247,699439,873600,475467,1083247
Reston Town Center TSA,West Fountain Drive,Mixed Use,0,336555,23958,455000,0,336555
Wiehle-Reston East TSA,Sunset Hills,Mixed Use,1463064,0,1704004,0,1463064,0
Reston Town Center TSA,Central Sunrise Valley,Office,1291957,0,1165555,0,1291957,0
Wiehle-Reston East TSA,Reston East,Office,3714535,0,5451159,242000,4113587,0
Herndon TSA,Great Oak,Residential,0,2244511,0,1597200,0,2244511
Herndon TSA,Herndon Station,Residential Mixed Use,439646,0,1216054,4561000,999646,854515
Reston Town Center TSA,Reston Town Center Station North,Residential Mixed Use,396858,0,268850,1008000,396858,0
Reston Town Center TSA,Reston Town Center Station South,Residential Mixed Use,332569,0,389620,1461000,332569,0
Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,1700796,0,1141905,7752000,1663339,366400
Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,906321,0,1335357,3551000,906321,206600
Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,13452,33930,995500,2400000,13452,33930
Reston Town Center TSA,Town Center Urban Core,Town Center Urban Core Mixed Use,2570974,3128724,2648588,4200000,2820797,3087305
Herndon TSA,Herndon Station,Transit Station Mixed Use,0,0,929552,1162000,0,0
Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,1270846,0,3009192,3761000,1270846,0
Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,1159086,0,2959032,3699000,1159086,0
Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,477628,922403,1716125,2145000,1638981,2292240
Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,1034420,0,1629293,2037000,1306969,819100
